# Weather station Athens (airport), Greece, METAR=LGAV,selection from 07.06.2017 till 30.06.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/metar.php?metar=LGAV&lang=en
#
"Local time in Athens (airport)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"30.06.2017 06:50";"25.0";"752.1";"759.0";"57";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"30.06.2017 06:20";"22.0";"752.0";"759.0";"73";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"17.0";
"30.06.2017 05:50";"23.0";"752.0";"759.0";"74";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"18.0";
"30.06.2017 05:20";"22.0";"752.0";"759.0";"73";"Wind blowing from the east-northeast";"2";"";"";"";"No Significant Clouds";"10.0 and more";"17.0";
"30.06.2017 04:50";"23.0";"752.0";"759.0";"65";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"30.06.2017 04:20";"24.0";"752.1";"759.0";"57";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"30.06.2017 03:50";"24.0";"752.1";"759.0";"57";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"30.06.2017 03:20";"24.0";"752.1";"759.0";"61";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"30.06.2017 02:50";"24.0";"752.1";"759.0";"57";"Wind blowing from the west";"3";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"30.06.2017 02:20";"23.0";"752.0";"759.0";"61";"Wind blowing from the south";"1";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"30.06.2017 01:50";"25.0";"752.1";"759.0";"54";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"30.06.2017 01:20";"26.0";"752.1";"759.0";"48";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"30.06.2017 00:50";"25.0";"752.1";"759.0";"51";"Wind blowing from the west-southwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"30.06.2017 00:20";"27.0";"752.1";"759.0";"45";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"29.06.2017 23:50";"26.0";"752.1";"759.0";"48";"Wind blowing from the west";"3";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"29.06.2017 23:20";"28.0";"752.1";"759.0";"42";"Wind blowing from the west";"3";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"29.06.2017 22:50";"30.0";"752.2";"759.0";"35";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"29.06.2017 22:20";"30.0";"752.2";"759.0";"35";"Calm, no wind";"0";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"29.06.2017 21:50";"30.0";"752.2";"759.0";"38";"Wind blowing from the south-west";"3";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"29.06.2017 20:50";"30.0";"752.2";"759.0";"40";"Wind blowing from the west-southwest";"5";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"29.06.2017 20:20";"32.0";"751.4";"758.2";"33";"Wind blowing from the south-west";"5";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"29.06.2017 19:50";"32.0";"751.4";"758.2";"33";"Wind blowing from the south-west";"6";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"29.06.2017 19:20";"33.0";"751.5";"758.2";"34";"Wind blowing from the south-west";"6";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"29.06.2017 18:50";"34.0";"751.5";"758.2";"30";"Wind blowing from the south-west";"6";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"29.06.2017 18:20";"36.0";"751.5";"758.2";"28";"Wind blowing from the south-west";"5";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"29.06.2017 17:50";"36.0";"751.5";"758.2";"28";"Wind blowing from the south-west";"5";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"29.06.2017 17:20";"38.0";"751.6";"758.2";"25";"Wind blowing from the south";"3";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"29.06.2017 16:50";"38.0";"751.6";"758.2";"25";"Wind blowing from the south-east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"29.06.2017 16:20";"37.0";"752.3";"759.0";"25";"Wind blowing from the south-east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"29.06.2017 15:50";"37.0";"752.3";"759.0";"27";"Wind blowing from the south-east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"29.06.2017 15:20";"37.0";"752.3";"759.0";"25";"Wind blowing from the east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"29.06.2017 14:50";"37.0";"752.3";"759.0";"25";"Wind blowing from the east-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"29.06.2017 14:20";"37.0";"752.3";"759.0";"24";"Wind blowing from the east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"29.06.2017 13:50";"37.0";"752.3";"759.0";"24";"Wind blowing from the east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"29.06.2017 13:20";"36.0";"752.3";"759.0";"28";"Wind blowing from the east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"29.06.2017 12:50";"35.0";"752.3";"759.0";"32";"Wind blowing from the east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"29.06.2017 12:20";"35.0";"752.3";"759.0";"30";"Wind blowing from the east";"5";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"29.06.2017 11:50";"35.0";"752.3";"759.0";"32";"Wind blowing from the north-east";"3";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"29.06.2017 11:20";"36.0";"752.3";"759.0";"27";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"29.06.2017 10:50";"35.0";"752.3";"759.0";"28";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"29.06.2017 10:20";"33.0";"752.3";"759.0";"34";"Wind blowing from the south-southeast";"2";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"29.06.2017 09:50";"33.0";"752.3";"759.0";"34";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"29.06.2017 09:20";"32.0";"752.2";"759.0";"36";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"29.06.2017 08:50";"31.0";"751.4";"758.2";"35";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"29.06.2017 08:15";"29.0";"751.4";"758.2";"43";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"29.06.2017 07:50";"27.0";"751.3";"758.2";"51";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"29.06.2017 07:20";"25.0";"751.3";"758.2";"54";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"29.06.2017 06:50";"24.0";"750.8";"757.7";"61";"Calm, no wind";"0";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"29.06.2017 06:20";"23.0";"750.7";"757.7";"61";"Wind blowing from the north-west";"1";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"29.06.2017 05:50";"23.0";"750.7";"757.7";"61";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"29.06.2017 05:20";"22.0";"750.7";"757.7";"65";"Wind blowing from the south";"2";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"29.06.2017 04:50";"26.0";"750.8";"757.7";"54";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"29.06.2017 04:20";"25.0";"750.8";"757.7";"57";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"29.06.2017 03:50";"23.0";"750.7";"757.7";"61";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"29.06.2017 03:20";"24.0";"750.8";"757.7";"61";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"29.06.2017 02:50";"24.0";"750.8";"757.7";"57";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"29.06.2017 02:20";"24.0";"750.8";"757.7";"61";"Wind blowing from the west-southwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"29.06.2017 01:50";"26.0";"750.8";"757.7";"54";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"29.06.2017 01:20";"27.0";"750.8";"757.7";"48";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"29.06.2017 00:50";"24.0";"750.8";"757.7";"61";"Calm, no wind";"0";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"29.06.2017 00:20";"24.0";"750.8";"757.7";"61";"Calm, no wind";"0";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"28.06.2017 23:50";"25.0";"750.8";"757.7";"54";"variable wind direction";"1";"";"";"";"Few clouds (10-30%) 900 m";"10.0 and more";"15.0";
"28.06.2017 23:20";"27.0";"750.8";"757.7";"51";"Calm, no wind";"0";"";"";"";"Few clouds (10-30%) 900 m";"10.0 and more";"16.0";
"28.06.2017 22:50";"27.0";"750.8";"757.7";"51";"Calm, no wind";"0";"";"";"";"Few clouds (10-30%) 900 m";"10.0 and more";"16.0";
"28.06.2017 22:20";"28.0";"750.9";"757.7";"48";"Wind blowing from the south-west";"3";"";"";"";"Few clouds (10-30%) 900 m";"10.0 and more";"16.0";
"28.06.2017 21:50";"28.0";"750.9";"757.7";"48";"Wind blowing from the south-west";"2";"";"";"";"Few clouds (10-30%) 900 m";"10.0 and more";"16.0";
"28.06.2017 21:20";"28.0";"750.9";"757.7";"55";"Wind blowing from the south-west";"3";"";"";"";"No Significant Clouds";"10.0 and more";"18.0";
"28.06.2017 20:50";"29.0";"750.9";"757.7";"48";"Wind blowing from the south-west";"4";"";"";"";"No Significant Clouds";"10.0 and more";"17.0";
"28.06.2017 20:20";"30.0";"750.1";"756.9";"46";"Wind blowing from the south-west";"3";"";"";"";"No Significant Clouds";"10.0 and more";"17.0";
"28.06.2017 19:50";"31.0";"750.1";"756.9";"43";"Wind blowing from the south-west";"5";"";"";"";"No Significant Clouds";"10.0 and more";"17.0";
"28.06.2017 19:20";"32.0";"750.2";"756.9";"38";"Wind blowing from the south-west";"5";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"28.06.2017 18:50";"33.0";"750.2";"756.9";"30";"Wind blowing from the south-southwest";"5";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"28.06.2017 18:20";"34.0";"750.2";"756.9";"28";"Wind blowing from the south-southwest";"5";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"28.06.2017 17:50";"34.0";"750.2";"756.9";"28";"Wind blowing from the south-west";"5";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"28.06.2017 17:20";"35.0";"750.2";"756.9";"26";"Wind blowing from the south";"4";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"28.06.2017 16:50";"34.0";"750.2";"756.9";"28";"Wind blowing from the south";"4";"";"";"";"Few clouds (10-30%) 600 m";"10.0 and more";"13.0";
"28.06.2017 16:20";"35.0";"750.2";"756.9";"25";"Wind blowing from the south";"3";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"28.06.2017 15:50";"35.0";"751.0";"757.7";"26";"Wind blowing from the south-southwest";"5";"";"";"";"Few clouds (10-30%) 600 m";"10.0 and more";"13.0";
"28.06.2017 15:20";"35.0";"751.0";"757.7";"28";"Wind blowing from the east-southeast";"5";"";"";"";"Few clouds (10-30%) 600 m";"10.0 and more";"14.0";
"28.06.2017 14:50";"35.0";"751.0";"757.7";"28";"Wind blowing from the east-southeast";"4";"";"";"";"Few clouds (10-30%) 600 m";"10.0 and more";"14.0";
"28.06.2017 14:20";"35.0";"751.0";"757.7";"28";"Wind blowing from the east";"5";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"28.06.2017 13:50";"34.0";"751.0";"757.7";"30";"Wind blowing from the east-southeast";"5";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"28.06.2017 13:20";"34.0";"751.0";"757.7";"32";"Wind blowing from the east";"5";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"28.06.2017 12:50";"33.0";"751.5";"758.2";"34";"Wind blowing from the east";"5";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"28.06.2017 12:20";"33.0";"751.0";"757.7";"34";"Wind blowing from the east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"28.06.2017 11:50";"33.0";"751.0";"757.7";"34";"Wind blowing from the east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"28.06.2017 11:20";"33.0";"751.0";"757.7";"34";"Wind blowing from the east";"2";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"28.06.2017 10:50";"32.0";"751.4";"758.2";"33";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"28.06.2017 10:20";"32.0";"751.4";"758.2";"33";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"28.06.2017 09:50";"32.0";"750.9";"757.7";"31";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"28.06.2017 09:20";"31.0";"751.4";"758.2";"33";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"28.06.2017 08:50";"29.0";"751.4";"758.2";"40";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"28.06.2017 08:20";"28.0";"750.9";"757.7";"45";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"28.06.2017 07:50";"27.0";"750.8";"757.7";"54";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"17.0";
"28.06.2017 07:20";"26.0";"750.8";"757.7";"58";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"17.0";
"28.06.2017 06:50";"21.0";"750.7";"757.7";"69";"Wind blowing from the north-east";"1";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"28.06.2017 06:20";"22.0";"750.7";"757.7";"65";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"28.06.2017 05:50";"21.0";"750.7";"757.7";"69";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"28.06.2017 05:20";"26.0";"750.8";"757.7";"54";"Wind blowing from the south-southeast";"1";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"28.06.2017 04:50";"25.0";"750.8";"757.7";"57";"Calm, no wind";"0";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"28.06.2017 04:20";"23.0";"750.7";"757.7";"61";"Wind blowing from the south";"1";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"28.06.2017 03:50";"23.0";"750.7";"757.7";"61";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"28.06.2017 03:20";"24.0";"751.3";"758.2";"57";"Wind blowing from the south";"1";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"28.06.2017 02:50";"24.0";"751.3";"758.2";"57";"Wind blowing from the south";"1";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"28.06.2017 02:20";"25.0";"751.3";"758.2";"54";"Wind blowing from the west-southwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"28.06.2017 01:50";"25.0";"751.3";"758.2";"54";"Wind blowing from the south-southwest";"1";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"28.06.2017 01:20";"25.0";"751.3";"758.2";"54";"Wind blowing from the west-southwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"28.06.2017 00:50";"25.0";"752.1";"759.0";"54";"Wind blowing from the west-southwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"28.06.2017 00:20";"24.0";"752.1";"759.0";"54";"Wind blowing from the west-southwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"27.06.2017 23:50";"27.0";"751.3";"758.2";"42";"Wind blowing from the west";"2";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"27.06.2017 23:20";"28.0";"751.4";"758.2";"40";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"27.06.2017 22:50";"28.0";"751.4";"758.2";"40";"Wind blowing from the south-west";"2";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"27.06.2017 22:20";"28.0";"751.4";"758.2";"42";"Wind blowing from the south-southwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"27.06.2017 21:50";"28.0";"751.4";"758.2";"48";"Wind blowing from the south-southwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"27.06.2017 21:20";"28.0";"751.4";"758.2";"45";"Wind blowing from the south-southwest";"3";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"27.06.2017 20:50";"29.0";"751.4";"758.2";"43";"Wind blowing from the south-southwest";"3";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"27.06.2017 20:20";"30.0";"751.4";"758.2";"38";"Wind blowing from the south-southwest";"4";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"27.06.2017 19:50";"31.0";"751.4";"758.2";"35";"Wind blowing from the south-southwest";"4";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"27.06.2017 19:20";"32.0";"751.4";"758.2";"31";"Wind blowing from the south-southwest";"4";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"27.06.2017 18:50";"32.0";"751.4";"758.2";"27";"Wind blowing from the south-southwest";"4";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"27.06.2017 18:20";"32.0";"751.4";"758.2";"29";"Wind blowing from the east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"27.06.2017 17:50";"33.0";"751.5";"758.2";"28";"Wind blowing from the east-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"27.06.2017 17:20";"34.0";"751.5";"758.2";"28";"Wind blowing from the east-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"27.06.2017 16:50";"33.0";"751.5";"758.2";"28";"Wind blowing from the east-southeast";"4";"";"";"";"Few clouds (10-30%) 900 m";"10.0 and more";"12.0";
"27.06.2017 16:20";"34.0";"751.5";"758.2";"30";"Wind blowing from the east-southeast";"4";"";"";"";"Few clouds (10-30%) 1050 m";"10.0 and more";"14.0";
"27.06.2017 15:50";"35.0";"751.5";"758.2";"26";"Wind blowing from the south-east";"5";"";"";"";"Few clouds (10-30%) 750 m";"10.0 and more";"13.0";
"27.06.2017 15:20";"34.0";"752.3";"759.0";"26";"Wind blowing from the east-southeast";"4";"";"";"";"Few clouds (10-30%) 750 m";"10.0 and more";"12.0";
"27.06.2017 14:50";"34.0";"751.5";"758.2";"28";"Wind blowing from the east-southeast";"4";"";"";"";"Few clouds (10-30%) 600 m";"10.0 and more";"13.0";
"27.06.2017 14:20";"34.0";"752.3";"759.0";"26";"Wind blowing from the east";"5";"";"";"";"Few clouds (10-30%) 600 m";"10.0 and more";"12.0";
"27.06.2017 13:50";"34.0";"752.3";"759.0";"28";"Wind blowing from the east";"4";"";"";"";"Few clouds (10-30%) 600 m";"10.0 and more";"13.0";
"27.06.2017 13:20";"33.0";"752.3";"759.0";"30";"Wind blowing from the east";"4";"";"";"";"Few clouds (10-30%) 600 m";"10.0 and more";"13.0";
"27.06.2017 12:50";"34.0";"752.3";"759.0";"26";"variable wind direction";"2";"";"";"";"Few clouds (10-30%) 600 m";"10.0 and more";"12.0";
"27.06.2017 12:20";"33.0";"752.3";"759.0";"28";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"27.06.2017 11:50";"33.0";"752.3";"759.0";"28";"Wind blowing from the north-east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"27.06.2017 11:20";"32.0";"752.2";"759.0";"33";"Wind blowing from the north-east";"2";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"27.06.2017 10:50";"32.0";"752.2";"759.0";"31";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"27.06.2017 10:20";"31.0";"752.2";"759.0";"33";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"27.06.2017 09:50";"30.0";"752.2";"759.0";"38";"Wind blowing from the north-east";"2";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"27.06.2017 09:20";"29.0";"752.2";"759.0";"40";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"27.06.2017 08:50";"28.0";"752.1";"759.0";"45";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"27.06.2017 08:20";"28.0";"752.1";"759.0";"42";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"27.06.2017 07:50";"26.0";"751.3";"758.2";"54";"Wind blowing from the south-west";"1";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"27.06.2017 07:20";"25.0";"751.3";"758.2";"54";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"27.06.2017 06:50";"23.0";"751.2";"758.2";"65";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"27.06.2017 06:20";"21.0";"751.2";"758.2";"69";"Calm, no wind";"0";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"27.06.2017 05:50";"20.0";"751.2";"758.2";"78";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"27.06.2017 05:20";"22.0";"751.2";"758.2";"69";"Calm, no wind";"0";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"27.06.2017 04:50";"22.0";"751.2";"758.2";"69";"Wind blowing from the north-east";"2";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"27.06.2017 04:20";"21.0";"751.2";"758.2";"73";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"27.06.2017 03:50";"22.0";"751.2";"758.2";"65";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
